"","target","key_age","key_recency","key_frequency","key_monetary","key_rfm","key_is_left_handed","key_role","eg_factor_4","eg_factor_4_na","eg_factor_12","eg_factor_12_na","eg_factor_50","eg_factor_50_na","eg_binary","eg_binary_na","eg_logical","eg_logical_na","eg_continuous","eg_continuous_na","eg_cluster","eg_cluster_na","eg_integer_7","eg_integer_7_na","eg_integer_50","eg_integer_50_na","eg_character","eg_character_na","eg_long_character","eg_long_character_na","eg_date","eg_date_na"
"13","negative",24.9,99,2,1638,0.566742081447964,0,"domestique","dragon",NA,"cadetblue2","cadetblue2","West Virginia","West Virginia",0,0,FALSE,FALSE,152.397668173223,152.397668173223,70.9692377550527,70.9692377550527,59,59,9,9,"Vanitied Isabellineshrike","Vanitied Isabellineshrike","Himenaeos tellus vehicula scelerisque","Himenaeos tellus vehicula scelerisque",2022-02-14,2022-02-14
"14","negative",32.9,NA,NA,NA,NA,0,"grimpeur","dog","dog","cadetblue","cadetblue","Idaho","Idaho",0,0,TRUE,TRUE,71.4148129417197,71.4148129417197,20.3474547876976,NA,73,73,49,49,"Masticated Waterboatman","Masticated Waterboatman","Interdum sodales id montes","Interdum sodales id montes",2022-02-14,2022-02-14
"15","negative",37.3,88,6,860,0.898755656108597,0,"domestique","raccoon","raccoon","burlywood1","burlywood1","Michigan","Michigan",1,1,TRUE,TRUE,127.762069582653,127.762069582653,30.5401443550363,30.5401443550363,47,47,12,12,"Crass Sponge","Crass Sponge","Mi sem neque ut,",NA,2022-02-14,2022-02-14
"16","negative",39.8,7,1,114,0.00113122171945701,0,"domestique","dragon","dragon","cadetblue","cadetblue","Rhode Island","Rhode Island",0,0,TRUE,TRUE,85.8328556689995,85.8328556689995,20.3495388177689,20.3495388177689,67,67,36,36,"Creatable Coqui","Creatable Coqui","Justo tristique et nulla","Justo tristique et nulla",2021-07-29,2021-07-29
"17","negative",22.2,214,2,281,0.438914027149321,0,"domestique","raccoon",NA,"cadetblue3","cadetblue3","Michigan","Michigan",1,NA,FALSE,FALSE,88.4681846915737,88.4681846915737,30.7864491457585,30.7864491457585,59,59,12,12,"Axiomatic Squirrel","Axiomatic Squirrel","Nulla eros natoque vel","Nulla eros natoque vel",2021-11-06,NA
"18","negative",78.9,157,3,3263,0.932126696832579,0,"grimpeur","raccoon","raccoon","cadetblue3","cadetblue3","Arkansas",NA,1,1,FALSE,FALSE,90.381869852027,90.381869852027,20.9643369389232,20.9643369389232,73,73,34,NA,"Overrated Freshwatereel","Overrated Freshwatereel","Interdum, eros eleifend, donec","Interdum, eros eleifend, donec",2022-02-14,2022-02-14
"19","negative",40.9,30,4,3178,0.749434389140271,1,"domestique","dragon","dragon","burlywood4","burlywood4","Nebraska",NA,1,1,FALSE,FALSE,95.2707308960967,95.2707308960967,20.6133901323192,20.6133901323192,71,71,12,12,"Climatological Portuguesemanofwar","Climatological Portuguesemanofwar","Amet, in vitae metus","Amet, in vitae metus",2022-02-14,2022-02-14
"20","negative",55.3,27,5,745,0.665158371040724,0,"domestique","fish","fish","cadetblue","cadetblue","Georgia","Georgia",1,1,FALSE,FALSE,158.267241359172,NA,60.3642459821422,60.3642459821422,73,73,3,3,"Determinate Cur","Determinate Cur","Vulputate risus vitae aliquam","Vulputate risus vitae aliquam",2021-07-29,2021-07-29
"21","negative",33.2,NA,NA,NA,NA,0,"sprinteurs","dog","dog","cadetblue2","cadetblue2","New Hampshire","New Hampshire",0,0,FALSE,FALSE,89.0460882979887,89.0460882979887,40.9919733852148,40.9919733852148,47,47,46,46,"Columned Atlanticbluetang","Columned Atlanticbluetang","Vehicula tristique tortor, varius",NA,2021-11-06,2021-11-06
"22","negative",29.8,18,2,271,0.0497737556561086,1,"grimpeur","dragon","dragon","burlywood4","burlywood4","Indiana","Indiana",1,1,TRUE,TRUE,151.411755120808,151.411755120808,20.2866748217493,20.2866748217493,71,71,11,11,"Veryblue Muskox",NA,"Quisque sed dapibus nec","Quisque sed dapibus nec",2021-11-06,2021-11-06
"23","negative",21.5,281,2,1802,0.839366515837104,0,"puncheur","dragon","dragon","cadetblue3","cadetblue3","New Jersey","New Jersey",0,0,TRUE,TRUE,54.7791781226922,54.7791781226922,40.8896914797369,40.8896914797369,71,71,49,49,"Glistening Asiaticlesserfreshwaterclam","Glistening Asiaticlesserfreshwaterclam","Montes in duis lectus","Montes in duis lectus",2021-11-06,2021-11-06
"24","negative",39.2,173,3,1886,0.906108597285068,0,"domestique","raccoon","raccoon","chartreuse","chartreuse","Virginia",NA,0,0,TRUE,TRUE,87.4777701208883,87.4777701208883,20.5612341957167,20.5612341957167,59,59,39,39,"Dendrachate Apatosaur","Dendrachate Apatosaur","Velit erat sit id","Velit erat sit id",2021-11-06,2021-11-06
"25","negative",37.7,42,1,160,0.0294117647058824,0,"gc","raccoon","raccoon","cadetblue4","cadetblue4","Nevada","Nevada",1,1,TRUE,TRUE,104.914091460108,104.914091460108,20.9957808840554,20.9957808840554,59,59,50,50,"Undestructible Vulpesvelox","Undestructible Vulpesvelox","Eu amet, luctus ultricies","Eu amet, luctus ultricies",2021-07-29,2021-07-29
"26","negative",26.7,55,3,415,0.428733031674208,0,"domestique","fish","fish","cadetblue","cadetblue","Illinois","Illinois",0,0,TRUE,TRUE,93.2946897017381,93.2946897017381,10.105010546511,NA,47,NA,6,6,"Sulfureous Eider","Sulfureous Eider","Sit commodo nullam varius",NA,2021-07-29,2021-07-29
"27","negative",39.8,NA,NA,NA,NA,0,"grimpeur","fish","fish","cadetblue","cadetblue","New Mexico","New Mexico",1,1,FALSE,FALSE,150.135872587711,150.135872587711,60.4573730840348,60.4573730840348,47,NA,8,8,"Cheeselike Rabidsquirrel","Cheeselike Rabidsquirrel","Eleifend dictum proin sed,","Eleifend dictum proin sed,",2021-11-06,2021-11-06
"28","negative",31.9,63,2,283,0.163461538461538,0,"sprinteurs","fish","fish","cadetblue1","cadetblue1","Oregon","Oregon",0,0,FALSE,FALSE,132.129045113565,132.129045113565,50.3630241516512,50.3630241516512,47,47,14,14,"Indigenous Americanbulldog","Indigenous Americanbulldog","Et ut ut. Ridiculus","Et ut ut. Ridiculus",2021-11-06,2021-11-06
"29","negative",24.7,NA,NA,NA,NA,0,"domestique","dragon","dragon","chartreuse",NA,"South Carolina","South Carolina",1,1,TRUE,TRUE,114.855401482804,114.855401482804,70.4686973532662,70.4686973532662,71,71,40,40,"Mutant Pharaohhound","Mutant Pharaohhound","Magna, nam augue egestas,","Magna, nam augue egestas,",2021-11-06,2021-11-06
"30","negative",25.7,322,1,169,0.354072398190045,0,"gc","raccoon","raccoon","burlywood",NA,"West Virginia","West Virginia",1,1,TRUE,TRUE,104.447345582303,NA,50.1808402615134,50.1808402615134,71,NA,28,28,"Presidential Frenchbulldog","Presidential Frenchbulldog","Et vivamus. Ante, pellentesque,","Et vivamus. Ante, pellentesque,",2021-11-06,2021-11-06
"31","negative",43.6,214,1,155,0.207579185520362,0,"domestique","raccoon","raccoon","burlywood2","burlywood2","Oklahoma","Oklahoma",1,1,TRUE,TRUE,150.77044591014,150.77044591014,40.2894336502068,40.2894336502068,61,61,7,7,"Nonprophetic Wolverine","Nonprophetic Wolverine","Pulvinar hendrerit a, ut",NA,2022-02-14,2022-02-14
"32","positive",58.2,19,6,2383,0.792986425339366,0,"gc","dragon","dragon","cadetblue1","cadetblue1","Nevada",NA,1,1,TRUE,TRUE,108.283910543142,108.283910543142,20.4329572578426,20.4329572578426,59,59,50,50,"Nickelous Horseshoebat","Nickelous Horseshoebat","Volutpat taciti cubilia aptent?","Volutpat taciti cubilia aptent?",2021-04-20,2021-04-20
"33","negative",39.3,38,2,243,0.0904977375565611,0,"gc","dragon","dragon","burlywood4","burlywood4","New Jersey","New Jersey",0,0,FALSE,FALSE,165.347356704798,165.347356704798,70.0949937242549,70.0949937242549,59,59,4,4,"Bored Flyingfox","Bored Flyingfox","Faucibus, nibh, ac, gravida","Faucibus, nibh, ac, gravida",2020-10-02,2020-10-02
"34","negative",41.7,52,6,2217,0.919683257918552,0,"grimpeur","fish","fish","cadetblue","cadetblue","Massachusetts","Massachusetts",1,1,FALSE,FALSE,108.483109929956,108.483109929956,10.4063476349693,10.4063476349693,71,71,47,47,"Level Americancrocodile","Level Americancrocodile","Nunc et egestas nunc.","Nunc et egestas nunc.",2021-01-10,2021-01-10
"35","negative",11.9,NA,NA,NA,NA,0,"grimpeur","raccoon","raccoon","cadetblue",NA,"Hawaii",NA,0,0,FALSE,FALSE,40.475447766048,40.475447766048,30.961862760596,30.961862760596,61,61,6,6,"Astrophysical Europeanfiresalamander",NA,"Magnis at aliquam egestas","Magnis at aliquam egestas",2022-02-14,2022-02-14
"36","positive",58.2,40,1,136,0.0141402714932127,0,"grimpeur","fish","fish","burlywood1","burlywood1","New Hampshire","New Hampshire",0,0,FALSE,FALSE,148.50996920508,NA,20.9689315431751,20.9689315431751,53,53,34,34,"Lukewarm Snipe","Lukewarm Snipe","Et torquent ac eros","Et torquent ac eros",2022-02-14,2022-02-14
"37","negative",48.9,NA,NA,NA,NA,0,"domestique","raccoon","raccoon","cadetblue2","cadetblue2","Indiana","Indiana",1,1,TRUE,TRUE,110.597368834024,110.597368834024,70.5255333355162,70.5255333355162,61,61,47,47,"Anachronistic Funnelweaverspider",NA,"Tristique augue ad varius","Tristique augue ad varius",2021-11-06,2021-11-06
"38","negative",39.5,NA,NA,NA,NA,1,"domestique","dragon","dragon","cadetblue",NA,"Texas","Texas",1,NA,FALSE,FALSE,143.249837017451,143.249837017451,50.8257899195887,50.8257899195887,47,47,5,5,"Heptahedral Asp","Heptahedral Asp","Porta parturient urna ac","Porta parturient urna ac",2021-07-29,2021-07-29
"39","negative",29.6,245,1,167,0.287330316742081,0,"domestique","fish",NA,"burlywood1","burlywood1","West Virginia","West Virginia",0,0,TRUE,TRUE,150.556327151333,150.556327151333,70.1800481085666,70.1800481085666,53,53,22,NA,"Sycophantic Polyturator","Sycophantic Polyturator","Interdum in quam vestibulum","Interdum in quam vestibulum",2021-11-06,2021-11-06
"40","negative",23.4,28,6,898,0.710972850678733,0,"domestique","dragon","dragon","burlywood1","burlywood1","Virginia","Virginia",0,0,FALSE,FALSE,140.754349771491,140.754349771491,70.0328765274025,70.0328765274025,67,67,42,42,"Sphinxian Americanbulldog","Sphinxian Americanbulldog","Ut, pretium vitae magna","Ut, pretium vitae magna",2021-11-06,NA
"41","negative",29.6,61,2,319,0.248868778280543,0,"rouleur","raccoon",NA,"cadetblue3","cadetblue3","Maryland","Maryland",1,1,FALSE,FALSE,141.362953563419,141.362953563419,40.1544813681394,40.1544813681394,73,73,40,40,"Maddish Backswimmer","Maddish Backswimmer","Sed mattis in, elementum",NA,2021-07-29,2021-07-29
"42","negative",48.9,16,3,415,0.281108597285068,0,"domestique","dog",NA,"burlywood","burlywood","Florida","Florida",0,0,FALSE,FALSE,148.385029185047,148.385029185047,30.4174640511628,30.4174640511628,71,NA,48,NA,"Quilted Wren","Quilted Wren","Maximus et enim cursus","Maximus et enim cursus",2021-07-29,2021-07-29
"43","negative",40.3,97,2,330,0.365950226244344,0,"domestique","fish","fish","cadetblue3","cadetblue3","North Dakota","North Dakota",0,0,TRUE,TRUE,138.051300897786,138.051300897786,60.6428778104018,60.6428778104018,61,61,19,19,"Conceited Schapendoes","Conceited Schapendoes","Ut dignissim metus. Dolor","Ut dignissim metus. Dolor",2022-02-14,2022-02-14
"44","negative",39.8,24,4,561,0.52658371040724,1,"sprinteurs","dog","dog","cadetblue2","cadetblue2","Oklahoma","Oklahoma",1,1,FALSE,FALSE,130.112366755642,NA,30.2076852396131,30.2076852396131,61,61,41,41,"Physical Topi","Physical Topi","Tincidunt natoque vitae, faucibus","Tincidunt natoque vitae, faucibus",2022-02-14,NA
"45","negative",32.9,64,7,1074,0.866515837104072,0,"domestique","raccoon","raccoon","cadetblue2","cadetblue2","Arkansas","Arkansas",0,0,FALSE,FALSE,81.9588863837169,81.9588863837169,70.4942064033821,70.4942064033821,59,NA,28,NA,"Intolerant Vulpesvulpes","Intolerant Vulpesvulpes","Turpis sodales, vehicula natoque","Turpis sodales, vehicula natoque",2022-02-14,2022-02-14
"46","negative",27.4,85,1,152,0.0537330316742081,0,"domestique","raccoon","raccoon","cadetblue1","cadetblue1","New York","New York",1,1,FALSE,FALSE,78.1591543127184,78.1591543127184,40.0473212436773,40.0473212436773,59,59,22,22,"Astrophysical Europeanfiresalamander","Astrophysical Europeanfiresalamander","Efficitur risus viverra, fermentum","Efficitur risus viverra, fermentum",2022-02-14,2022-02-14
"47","negative",25.5,10,3,402,0.23472850678733,0,"grimpeur","fish","fish","chartreuse1","chartreuse1","Maryland","Maryland",0,NA,FALSE,FALSE,72.1627815272041,72.1627815272041,50.7961925514974,50.7961925514974,53,53,27,NA,"Droll Natterjacktoad","Droll Natterjacktoad","In praesent lacinia cras","In praesent lacinia cras",2022-02-14,2022-02-14
"48","negative",41.9,37,2,285,0.105769230769231,0,"sprinteurs","raccoon","raccoon","chartreuse1","chartreuse1","Maryland","Maryland",1,1,FALSE,FALSE,129.475208379672,129.475208379672,20.6274999154266,20.6274999154266,53,NA,38,38,"Unstoppable Dogwoodtwigborer","Unstoppable Dogwoodtwigborer","Non sed vitae vestibulum","Non sed vitae vestibulum",2022-02-14,2022-02-14
"49","negative",37.2,228,3,436,0.748303167420814,0,"grimpeur","raccoon","raccoon","burlywood1","burlywood1","Massachusetts","Massachusetts",1,1,TRUE,TRUE,162.311225876233,162.311225876233,40.2314545353875,40.2314545353875,71,71,49,NA,"Calorific Bordercollie","Calorific Bordercollie","Ex, feugiat magnis in","Ex, feugiat magnis in",2022-02-14,2022-02-14
"50","negative",14.7,280,3,420,0.773755656108597,0,"gc","dragon","dragon","cadetblue2","cadetblue2","Rhode Island","Rhode Island",1,1,FALSE,FALSE,117.974242636633,117.974242636633,10.0050393543206,10.0050393543206,59,59,37,37,"Overconservative Hoki","Overconservative Hoki","Ac curabitur nec quisque","Ac curabitur nec quisque",2022-02-14,2022-02-14
"51","negative",34.5,22,9,2376,0.852941176470588,0,"domestique","dog",NA,"burlywood3","burlywood3","Wyoming","Wyoming",1,1,FALSE,FALSE,89.0400192104974,89.0400192104974,70.9450757813174,70.9450757813174,73,73,33,33,"Lovesick Deinonychus","Lovesick Deinonychus","Ut aliquam commodo placerat","Ut aliquam commodo placerat",2022-02-14,2022-02-14
"52","negative",29.9,133,3,433,0.622171945701357,0,"rouleur","fish","fish","cadetblue1","cadetblue1","Maine","Maine",1,1,FALSE,FALSE,119.273217774653,119.273217774653,20.5311381923966,20.5311381923966,59,59,16,16,"Heliophilic Asiaticmouflon","Heliophilic Asiaticmouflon","Felis facilisi pretium vel","Felis facilisi pretium vel",2021-11-06,2021-11-06
"53","negative",31.8,210,2,289,0.450226244343891,0,"sprinteurs","raccoon","raccoon","cadetblue1","cadetblue1","Nebraska","Nebraska",0,0,TRUE,TRUE,75.4399182743047,75.4399182743047,30.5806279166136,30.5806279166136,73,NA,4,4,"Defensive Hoverfly","Defensive Hoverfly","Auctor rhoncus eros rhoncus","Auctor rhoncus eros rhoncus",2021-11-06,2021-11-06
"54","negative",27.4,22,2,326,0.131221719457014,0,"grimpeur","dragon",NA,"burlywood1",NA,"New Hampshire","New Hampshire",1,NA,TRUE,TRUE,155.933435367454,155.933435367454,40.9985050556716,NA,53,NA,47,47,"Adroit Hind","Adroit Hind","Ut purus mauris duis",NA,2021-11-06,2021-11-06
"55","negative",21.9,173,4,633,0.91289592760181,0,"domestique","dragon","dragon","cadetblue2","cadetblue2","Georgia","Georgia",0,0,FALSE,FALSE,109.776908784028,109.776908784028,30.8506711558439,30.8506711558439,71,71,27,27,"Widespread Termite","Widespread Termite","Fusce class, amet mattis","Fusce class, amet mattis",2021-11-06,2021-11-06
"56","negative",37.1,113,4,2200,0.940610859728507,0,"domestique","fish","fish","cadetblue3","cadetblue3","Louisiana",NA,1,1,FALSE,FALSE,96.0022657691335,96.0022657691335,50.5623602042906,50.5623602042906,61,NA,15,15,"Supernatural Gannet","Supernatural Gannet","Facilisi, in aenean diam.","Facilisi, in aenean diam.",2021-11-06,2021-11-06
"57","negative",51.8,182,2,292,0.420248868778281,0,"grimpeur","dragon","dragon","burlywood","burlywood","Arkansas","Arkansas",1,1,FALSE,FALSE,141.949663186861,141.949663186861,70.2406964928377,70.2406964928377,59,NA,16,16,"Nettlesome Fossa","Nettlesome Fossa","Congue porttitor commodo cubilia","Congue porttitor commodo cubilia",2021-07-29,2021-07-29
"58","negative",35.3,63,2,295,0.181561085972851,0,"domestique","dragon","dragon","burlywood","burlywood","Maryland","Maryland",0,0,FALSE,FALSE,112.320124781971,NA,40.76660984708,40.76660984708,53,53,43,43,"Complexionless Genet","Complexionless Genet","Luctus ut. Vulputate in","Luctus ut. Vulputate in",2022-02-14,2022-02-14
"59","negative",39,52,3,388,0.404977375565611,0,"rouleur","raccoon","raccoon","chartreuse1","chartreuse1","Connecticut","Connecticut",1,1,FALSE,FALSE,102.184915285729,102.184915285729,40.2536129693035,NA,73,73,37,37,"Paleoclimatological Nightheron","Paleoclimatological Nightheron","Neque, luctus nisl ad","Neque, luctus nisl ad",2022-02-14,2022-02-14
"60","negative",35.3,133,2,275,0.340497737556561,0,"grimpeur","fish","fish","cadetblue1","cadetblue1","Michigan",NA,1,1,FALSE,FALSE,85.7794501169593,85.7794501169593,20.4202075169887,20.4202075169887,67,67,2,2,"Biophilic Smelts","Biophilic Smelts","Eros sed vehicula quis","Eros sed vehicula quis",2022-02-14,2022-02-14
"61","negative",25.7,334,1,150,0.30316742081448,0,"domestique","fish","fish","cadetblue3","cadetblue3","Kentucky","Kentucky",0,0,FALSE,FALSE,101.011737955268,101.011737955268,10.0279892541002,10.0279892541002,59,59,22,22,"Columned Atlanticbluetang",NA,"Maximus imperdiet facilisis donec","Maximus imperdiet facilisis donec",2021-11-06,2021-11-06
"62","negative",39.9,65,1,139,0.0328054298642534,0,"rouleur","raccoon","raccoon","burlywood","burlywood","Kansas","Kansas",0,NA,TRUE,TRUE,82.0486663944295,82.0486663944295,50.7129204529338,50.7129204529338,53,53,36,36,"Electronic Hoiho","Electronic Hoiho","Vestibulum porta phasellus lacinia","Vestibulum porta phasellus lacinia",2021-11-06,2021-11-06
"63","negative",13.3,NA,NA,NA,NA,0,"domestique","fish","fish","chartreuse1","chartreuse1","Delaware","Delaware",1,1,FALSE,FALSE,86.1018514749214,86.1018514749214,10.4313722609077,10.4313722609077,61,61,39,39,"Drafty Littlenightmonkeys","Drafty Littlenightmonkeys","Imperdiet ullamcorper suscipit nisl","Imperdiet ullamcorper suscipit nisl",2021-04-20,2021-04-20
"64","negative",32.8,43,14,3270,0.948529411764706,0,"sprinteurs","dog","dog","burlywood3","burlywood3","Nevada","Nevada",1,NA,FALSE,FALSE,113.551343117519,113.551343117519,30.7707866835408,30.7707866835408,59,59,25,25,"Traumatic Bushbaby","Traumatic Bushbaby","Magna sit bibendum. Neque,","Magna sit bibendum. Neque,",2021-04-20,2021-04-20
"65","negative",28,205,1,179,0.257352941176471,0,"rouleur","fish","fish","cadetblue","cadetblue","Minnesota","Minnesota",1,1,FALSE,FALSE,112.529232523171,112.529232523171,40.0059466126841,40.0059466126841,47,NA,4,4,"Disputable Stallion","Disputable Stallion","Enim sed malesuada, at","Enim sed malesuada, at",2021-11-06,2021-11-06
"66","negative",32.2,209,2,275,0.424773755656109,0,"domestique","dragon",NA,"burlywood2","burlywood2","Ohio","Ohio",1,1,TRUE,TRUE,102.73752274144,102.73752274144,50.1082157071214,NA,67,67,48,48,"Relieved Ulyssesbutterfly","Relieved Ulyssesbutterfly","Egestas ligula convallis quis","Egestas ligula convallis quis",2022-02-14,2022-02-14
"67","negative",41.2,4,13,1991,0.746606334841629,0,"domestique","fish","fish","cadetblue2","cadetblue2","Virginia","Virginia",1,1,FALSE,FALSE,136.100512296049,136.100512296049,10.237625411246,10.237625411246,53,NA,27,27,"Disinterested Americanalligator","Disinterested Americanalligator","Sed cubilia ridiculus mauris","Sed cubilia ridiculus mauris",2022-02-14,2022-02-14
"68","positive",46.1,140,3,1745,0.833710407239819,0,"gc","dragon",NA,"burlywood2",NA,"Georgia","Georgia",1,NA,TRUE,TRUE,79.1813302239832,79.1813302239832,30.2573432105128,30.2573432105128,53,53,16,16,"Warmthless Germanwirehairedpointer","Warmthless Germanwirehairedpointer","Nulla tristique. Orci bibendum","Nulla tristique. Orci bibendum",2021-11-06,NA
"69","negative",48,157,7,1028,0.981334841628959,1,"grimpeur","dragon","dragon","burlywood3",NA,"Utah","Utah",1,1,FALSE,FALSE,100.779537313102,NA,50.4514905002434,50.4514905002434,61,61,41,41,"Disinterested Hawk","Disinterested Hawk","Molestie ultrices non curabitur","Molestie ultrices non curabitur",2021-11-06,2021-11-06
"70","negative",21.1,141,1,173,0.158371040723982,0,"gc","fish","fish","chartreuse1","chartreuse1","Nebraska","Nebraska",0,0,FALSE,FALSE,123.443235653914,123.443235653914,10.1198907673825,NA,71,71,40,40,"Occasional Collardlizard","Occasional Collardlizard","Nunc pulvinar rutrum nec.",NA,2021-07-29,2021-07-29
"71","negative",37.6,NA,NA,NA,NA,0,"gc","fish","fish","cadetblue2","cadetblue2","Idaho","Idaho",1,1,FALSE,FALSE,83.1664141361252,83.1664141361252,40.3401054772548,40.3401054772548,53,NA,44,44,"Demonstrative Pullet","Demonstrative Pullet","Dui amet dui turpis","Dui amet dui turpis",2021-11-06,2021-11-06
"72","negative",27.6,150,4,629,0.880090497737557,0,"puncheur","dog","dog","burlywood4","burlywood4","Iowa",NA,1,1,FALSE,FALSE,84.1550323777549,84.1550323777549,50.7333534585778,50.7333534585778,61,61,25,25,"Flammable Herald","Flammable Herald","Ante in sed erat",NA,2022-02-14,2022-02-14
"73","negative",36.8,54,6,3489,0.943438914027149,0,"domestique","dragon","dragon","burlywood","burlywood","Oklahoma",NA,0,0,TRUE,TRUE,163.098960480385,163.098960480385,40.1379759456031,40.1379759456031,71,71,35,35,"Effusive Egret",NA,"Massa condimentum magna neque.","Massa condimentum magna neque.",2021-11-06,2021-11-06
"74","negative",40.5,22,5,2292,0.774886877828054,0,"grimpeur","dragon","dragon","cadetblue1",NA,"New Hampshire","New Hampshire",1,1,FALSE,FALSE,168.435405166386,168.435405166386,60.6628129079472,NA,59,NA,27,27,"Disagreeable Mantaray","Disagreeable Mantaray","Consequat amet taciti enim","Consequat amet taciti enim",2021-04-20,2021-04-20
"75","negative",18.6,NA,NA,NA,NA,0,"grimpeur","fish","fish","cadetblue3","cadetblue3","North Dakota","North Dakota",0,0,FALSE,FALSE,74.1065373556465,74.1065373556465,70.8189725901466,70.8189725901466,59,59,28,NA,"Inner Human","Inner Human","Est dui et rutrum","Est dui et rutrum",2022-02-14,2022-02-14
